Asset,Strategy,LeverageType,Criteria,ExposureBull,ExposureOscillate,ExposureBear,VolTarget,TotalReturn,AnnualReturn,Vol,Sharpe,MDD,Calmar
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.3,0.0,0.15,0.5470625546224881,0.1635353779865507,0.31765657637688777,0.4518570955579755,-0.2976610498979947,0.5494013343116023
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.3,0.0,0.15,0.5701947681065309,0.16954497243940958,0.31764246691012543,0.47079653389583526,-0.29598190566796256,0.5728220853798001
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.3,0.0,0.25,0.5370441477584658,0.16091445227920742,0.31777388001006435,0.44344252672606216,-0.29766104989799347,0.540596266573513
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.3,0.0,0.25,0.5595493819971853,0.16678660286864266,0.3177599677079033,0.4619417729912861,-0.29598190566796345,0.5635026995729467
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.3,0.0,0.35,0.5441447594930677,0.16277319716294825,0.3182430907286636,0.4486293695679249,-0.29103832485057257,0.5592844078061564
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.3,0.0,0.35,0.5657872444870014,0.16840440659872002,0.3182297452526523,0.4663436049351617,-0.28938387493954926,0.5819412247275312
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.3,0.0,0.45,0.6278538496284658,0.18427696796547632,0.31921432500671043,0.5146290598394134,-0.26178811723218853,0.7039164722745418
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.3,0.0,0.45,0.6495255658800656,0.18972597444679584,0.3192023008334817,0.5317191448921817,-0.26014525418927525,0.7293078439507334
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.3,0.3,0.15,0.5515170246657435,0.16469715806573682,0.31955830088173853,0.4528036282158292,-0.31538396672188646,0.5222115752351194
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.3,0.3,0.15,0.569892223651679,0.16946674775190562,0.3194696726774423,0.46785895668668726,-0.3142462330090813,0.539280124789939
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.3,0.3,0.25,0.5415157988648898,0.16208565943114195,0.31967492729666125,0.4444692007368009,-0.3153839667218866,0.5139311966802456
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.3,0.3,0.25,0.5592950805691914,0.1667205596636061,0.31958649325895816,0.459094995434365,-0.31424623300907994,0.530541155791003
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.3,0.3,0.35,0.5487668064944178,0.16398012527197414,0.32014115759991835,0.4497395035095946,-0.3089283604212548,0.530803080197528
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.3,0.3,0.35,0.5656625777317048,0.16837211524142437,0.32005342233469025,0.46358546694828606,-0.30781937485989463,0.5469834876965093
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.3,0.3,0.45,0.632871623666591,0.18554280093642683,0.3211061927167805,0.5155391103977791,-0.28041323737080076,0.6616763269669639
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.3,0.3,0.45,0.6495404015634392,0.18972968858528483,0.3210202513429477,0.5287195679252076,-0.2793362882891601,0.6792160436702112
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.5,0.0,0.15,0.5466005192353325,0.16341474857095895,0.3176570053738393,0.45147673794311327,-0.297661049897994,0.548996076668277
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.5,0.0,0.15,0.5697252248233737,0.16942356498503908,0.31764289356651443,0.4704136878596649,-0.29598190566796406,0.5724118999865498
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.5,0.0,0.25,0.5270786422059834,0.15829627741608832,0.3178511978404206,0.43509754990925326,-0.29766104989799397,0.531800440367778
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.5,0.0,0.25,0.5492809558029952,0.16411423665766378,0.3178373598641189,0.4534213244134522,-0.2959819056679653,0.5544738834196451
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.5,0.0,0.35,0.5357350853516727,0.16057116403420246,0.31866089671675485,0.4411308870418157,-0.28692240558734816,0.5596327122153574
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.5,0.0,0.35,0.5567785214330174,0.1660666186805675,0.31864786970998105,0.4583950892673808,-0.2852673432011442,0.5821438122465796
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.5,0.0,0.45,0.6286972810995337,0.1844899182145563,0.3202985560416453,0.5135518568905733,-0.25100615052463066,0.7350015839410785
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.5,0.0,0.45,0.6494886378139706,0.18971672934812256,0.3202871445414328,0.5298892954043236,-0.249365036586112,0.7607992361134742
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.5,0.3,0.15,0.5510536589362665,0.1645764082027099,0.3195587294006403,0.45242515663357197,-0.31538396672188634,0.5218287090283115
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.5,0.3,0.15,0.5694227708399351,0.16934534841784243,0.3194700975617469,0.46747833226856894,-0.3142462330090796,0.538893805651282
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.5,0.3,0.25,0.5315517860807997,0.15947285407713463,0.3197518159276277,0.43619096789962497,-0.31538396672188623,0.5056466748601774
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.5,0.3,0.25,0.5490589631325102,0.16405633536103537,0.31966344390339496,0.45065001365802226,-0.31424623300908205,0.52206301342137
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.5,0.3,0.35,0.5404486289879147,0.1618063498624931,0.32055642000378476,0.44237563503117117,-0.30491630282588483,0.5306582441244171
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.5,0.3,0.35,0.5567720593984617,0.16606493859919613,0.3204690759554142,0.4557848153171499,-0.30380963822205,0.5466085262173997
688_CHIP,专业策略 (每日 ETF),daily_etf,,0.5,0.5,0.3,0.45,0.6339347688322672,0.18581067421951714,0.32218396856661763,0.514645948888151,-0.2699012672079729,0.6884394287646689
688_CHIP,专业策略 (静态融资),margin_static,,0.5,0.5,0.3,0.45,0.6497229618270071,0.1897753910715021,0.32209889785216206,0.5270908786202247,-0.26883366687843907,0.7059212236141337
