Date,Open,High,Low,Close,Volume
2023-07-11,88.7676287665087,89.80419921875,88.20223127673471,89.80419921875,20380
2023-07-12,94.89277183549204,97.24860040329888,94.61007672100617,96.87167358398438,39390
2023-07-13,99.1332736546342,101.48910246952016,98.94481022521092,101.01793670654297,25260
2023-07-14,102.52567290614954,102.71413633558485,101.3948707612807,101.77180480957031,17710
2023-07-17,101.39487138603171,103.65646850028538,100.92370562012132,103.185302734375,21530
2023-07-18,101.86604139605782,103.27953875268051,101.58334623838489,102.05451202392578,24480
2023-07-19,101.67758672460396,102.0545208234211,100.2640892461046,101.2064208984375,13390
2023-07-20,98.94482895001462,98.94482895001462,95.83513145010316,96.3062973022461,26000
2023-07-21,97.90824440029088,97.90824440029088,95.83511078425947,96.11781311035156,9710
2023-07-24,100.54677367307384,102.90260255191268,100.54677367307384,101.48910522460938,29800
2023-07-25,102.99683615273118,104.59879683204909,102.99683615273118,104.22186279296875,18310
2023-07-26,99.32174489004525,103.84493192905393,98.94481083943977,102.43143463134766,14050
2023-07-27,101.48911355590353,101.48911355590353,96.7774554114434,97.0601577758789,18900
2023-07-28,101.30064389129262,102.52567780946669,100.45254403943514,102.05451202392578,15060
2023-07-31,102.14873780629624,102.99683760886242,101.67757204813937,102.61990356445312,15780
2023-08-01,103.1853010363576,103.84493022200968,101.77180376188696,102.61990356445312,17850
2023-08-02,94.89278070620777,94.89278070620777,92.34848849089953,93.00811767578125,36240
2023-08-03,92.34848679395338,93.47928171566285,91.4061552960559,92.44271850585938,21900
2023-08-04,91.31192394172835,93.19658694490369,89.80419497707186,90.18112182617188,16470
2023-08-07,89.89843648547055,89.89843648547055,88.01377327692576,89.23880004882812,20050
2023-08-08,84.8098373476999,85.75216887378545,83.1136377249783,85.56370544433594,34440
2023-08-09,89.14456005610234,89.14456005610234,86.5060361225744,87.8252944946289,16200
2023-08-10,88.01376879266672,89.7099612802851,85.46946927711033,86.03487396240234,20750
2023-08-11,83.2078830233714,83.96174398852015,82.17131251348509,82.7367172241211,21030
2023-08-14,79.62701854753973,80.85205247788502,78.96738931699652,80.66358184814453,41750
2023-08-15,80.28663989584399,80.28663989584399,77.83657946511047,78.4962158203125,18930
2023-08-16,75.480746408666,76.04614383105611,73.59608354108673,73.69031524658203,40610
2023-08-17,76.32886017918372,76.32886017918372,73.5960970805636,73.87879943847656,24420
2023-08-18,71.80564800804287,73.69031076089877,71.61718460852441,73.4076156616211,25230
2023-08-21,73.97303759569213,74.82113755378157,72.84224244451971,74.7269058227539,22870
2023-08-22,75.38652359744421,75.38652359744421,73.21915816825005,73.5960922241211,16540
2023-08-23,73.69031242380913,76.32884321311614,73.69031242380913,76.23461151123047,19170
2023-08-24,79.43855671653519,79.43855671653519,76.04615720667496,76.14039611816406,39490
2023-08-25,77.459650873328,78.68468476945851,75.5749877650775,77.93081665039062,23110
2023-08-28,79.72125899218324,79.90972964254946,78.96739795897892,79.81549072265625,16110
2023-08-29,78.77891917900516,82.92517959672531,78.2135216650932,82.83094787597656,23740
2023-08-30,81.32322100228804,81.7943868083513,80.1924187540844,81.13475036621094,22390
