Date,Open,High,Low,Close,Volume
2024-10-10,24.257253051387696,25.807177496092837,24.257253051387696,25.183473587036133,50800
2024-10-11,25.07890397851455,26.068614485572418,25.07890397851455,25.758628845214844,57300
2024-10-14,26.48970666641402,26.539191742736513,25.76983210415339,26.404741287231445,102400
2024-10-15,26.48877352352514,26.75954256908222,23.725984684599034,24.957521438598633,25200
2024-10-16,25.30392097475531,27.11434606931031,25.30392097475531,26.47943687438965,16500
2024-10-17,27.711907477264578,28.981725896926577,27.711907477264578,28.13206672668457,24000
2024-10-18,27.96400531429101,28.253448602845683,27.03031567816606,27.84262466430664,21300
2024-10-21,27.07699734222243,27.291745514423997,26.007922364577244,26.619489669799805,46100
2024-10-22,26.143306379340366,26.143306379340366,25.32632805498598,25.956567764282227,50100
2024-10-23,25.396358052804285,25.4309034000524,23.93046387214731,24.612058639526367,18100
2024-10-24,25.42436599175232,25.53267503371178,25.050890528328214,25.452377319335938,11500
2024-10-25,26.236675686869436,26.76701029053572,25.892144740767296,25.956567764282227,46600
2024-10-28,25.413162956276764,25.62044215361271,25.134923152567115,25.22829246520996,7800
2024-10-29,25.46171551362072,26.255352020263672,24.93884806167268,26.255352020263672,10600
2024-10-30,24.770785036177337,25.19094427590088,23.966878256077884,24.07985496520996,18200
2024-10-31,23.286218408332324,23.286218408332324,21.80071867072176,22.007062911987305,15400
2024-11-01,22.132177399930082,22.240484660474237,21.94170429123515,22.016399383544922,3000
2024-11-04,22.726002730958673,23.73158601603815,22.726002730958673,22.903404235839844,13700
2024-11-05,22.940753386200072,24.612058639526367,22.940753386200072,24.612058639526367,18900
2024-11-06,25.825853500786685,27.599863337026957,25.3403344944009,27.459810256958008,25600
2024-11-07,27.917316509352652,28.468193472914706,27.413125090677223,28.244108200073242,27200
2024-11-08,27.571854282600647,28.337479462815928,26.899596636853325,27.53450584411621,24100
2024-11-11,27.17036681990248,27.17036681990248,25.003272346747547,25.853864669799805,40100
2024-11-12,23.38892306411463,23.902453397190634,22.930482210900095,23.725051879882812,40800
2024-11-13,23.024783798766933,23.212455594825858,21.773639678955078,21.773639678955078,74400
2024-11-14,22.268496351322245,22.604623381765816,21.213426151748365,21.493534088134766,28900
2024-11-15,20.541170049277863,20.811940872927565,20.03697683870455,20.242389678955078,40300
2024-11-18,20.177034580078928,20.913715325364063,19.97068853367232,20.71857452392578,29500
2024-11-19,20.550509312330522,20.923051637622955,20.30774979078209,20.81194305419922,19800
2024-11-20,20.914647751939388,21.082712173461914,20.40765495710189,21.082712173461914,46700
2024-11-21,21.754965265378278,23.15549955578988,21.017351465147986,22.950088500976562,148400
2024-11-22,22.70732725635734,23.272208949116173,22.43655824051173,22.86605453491211,35100
2024-11-25,23.491632161400222,24.428123150847647,23.454285500324954,23.631685256958008,46300
2024-11-26,23.267540799485992,23.267540799485992,21.77363734679481,22.408546447753906,172800
2024-11-27,21.71855307566803,21.857672980153666,20.213445924836037,20.858625411987305,54400
2024-11-29,20.447803661566486,20.75125352029718,19.980025644188682,20.71857452392578,40000
2024-12-02,20.643878838230506,21.55889427255737,20.578520847331685,20.97066879272461,53900
2024-12-03,22.109768918991463,23.080805128893275,21.418838862881916,21.521543502807617,86400
2024-12-04,21.876348320234715,22.994908454458532,21.627986180503136,22.968765258789062,82500
2024-12-05,23.136828372598703,23.38892320507261,21.79231488229453,21.923030853271484,75800
2024-12-06,21.904357744488152,22.399213886779794,21.549556470623397,22.04441261291504,39200
2024-12-09,21.94170183120349,23.39825685837559,21.94170183120349,22.73533821105957,117800
2024-12-10,23.603672318134432,23.603672318134432,20.307747586044314,20.653213500976562,379800
2024-12-11,21.25077565367633,22.48511378338894,20.712970240975142,22.268497467041016,209000
2024-12-12,22.091097880144858,22.091097880144858,20.415124818605964,20.63454246520996,261800
2024-12-13,21.605577256982322,22.623299086197026,21.24143887472313,22.399213790893555,456800
2024-12-16,23.827758678160563,26.13397131601843,23.316096471254923,24.864152908325195,1341800
2024-12-17,25.527076380376,25.87254056992122,24.59338668623166,25.04155731201172,922700
2024-12-18,25.769834309590255,26.591480405680862,22.361867494388928,22.912744522094727,2012800
2024-12-19,16.9091194058868,17.06784671081141,14.345207466299911,15.45256233215332,1588800
2024-12-20,14.705613057906264,16.488960276744518,14.19955340173439,16.460948944091797,642500
2024-12-23,16.476864370798285,16.823251989313576,15.87770446516224,16.38324546813965,324100
2024-12-24,16.242816625859643,16.28962518039286,15.830894560566133,16.158559799194336,212300
2024-12-26,15.84962035061438,16.657547442787536,15.774725584166477,16.336437225341797,240400
2024-12-27,16.03685267872103,16.205366310808078,15.531313568091564,15.896425247192383,214700
2024-12-30,15.287906809736578,15.287906809736578,14.492148899089841,14.782366752624512,273700
2024-12-31,14.829177253994851,15.122203034476733,14.332999229431152,14.332999229431152,199500
2025-01-02,14.651301984879993,15.54067887963799,14.557683975253271,15.409611701965332,159500
2025-01-03,15.606211332034839,16.393542914442975,15.503230362392218,16.298988342285156,235500
2025-01-06,18.311786897863563,20.507142920419398,18.311786897863563,19.68798065185547,551300
2025-01-07,21.41056271085728,22.64632725861642,20.455653092813545,20.773956298828125,798500
2025-01-08,21.223325067531906,21.326306042532405,19.294783463760346,19.744152069091797,388500
2025-01-10,19.238608899438294,20.178540537846164,18.723707653227308,19.659893035888672,264300
2025-01-13,18.180721007443424,18.274339906979804,17.150916683807246,17.96539878845215,211000
2025-01-14,18.67689784227784,18.864133834838867,18.09646215838554,18.864133834838867,128600
2025-01-15,19.687980303532814,21.345027163259356,19.66925616631665,21.09225845336914,332400
2025-01-16,21.532264565991948,21.66332995281749,20.54927059353641,20.8114013671875,251900
2025-01-17,21.766310319395526,22.112699699403738,20.82169853226544,22.065889358520508,221100
2025-01-21,21.90673984017736,23.956986538107135,21.90673984017736,23.573150634765625,319500
2025-01-22,23.52634048461914,24.1442245483476,22.8990961373841,23.52634048461914,355400
2025-01-23,21.588435629451798,22.170742727130765,21.017363728375773,21.61652183532715,343600
2025-01-24,21.859928452473994,21.934823209640918,20.773016124010393,20.91438102722168,157700
2025-01-27,17.619010795171334,17.97944242635133,14.93683955638132,16.046218872070312,510700
2025-01-28,16.49558665467071,16.804527748782757,14.960241466255583,15.035136222839355,415000
2025-01-29,15.511655709588128,15.699829169986074,14.875985932707296,15.315993309020996,310200
2025-01-30,15.793451218399818,16.692188500917723,15.727916729121334,16.514312744140625,397200
2025-01-31,16.046219674709143,17.0666620619157,15.975069373277,16.03685760498047,306300
2025-02-03,15.09130853395993,15.999407674993106,14.894708683152269,15.540677070617676,234200
2025-02-04,15.259821124005883,16.036854925326292,15.166204013626398,15.784086227416992,166900
2025-02-05,15.634297865331757,16.804529688017304,15.624935796474427,16.776443481445312,218900
2025-02-06,17.225812942692166,17.843695233422043,16.809210678479214,17.09474754333496,246500
2025-02-07,17.45985721364068,17.590924382825214,16.055579124839042,16.308349609375,325900
2025-02-10,16.57984341306961,17.675180457736133,16.57984341306961,17.54411506652832,820400
2025-02-11,16.97304154637356,17.525391108744838,16.71091076126994,16.907508850097656,175800
2025-02-12,15.259822304107946,16.343925953907934,14.454703128847466,15.999409675598145,530600
2025-02-13,16.252180239537957,17.534753326297473,16.252180239537957,17.431774139404297,348600
2025-02-14,18.36795784156724,19.19180018581696,18.302423365392194,18.807964324951172,744500
2025-02-18,19.884578611662604,21.91610109609572,19.78159764144429,21.504179000854492,550900
2025-02-19,21.14842872572446,21.644607639863313,20.241265184666023,20.549270629882812,314900
2025-02-20,20.362033771176613,20.708423177329905,19.753513578819586,20.09990119934082,168400
2025-02-21,20.104583619938733,20.17479645983821,17.946675794271012,18.36795997619629,220300
2025-02-24,18.817323936778024,19.004559915942824,17.057294661712593,17.10410499572754,272000
2025-02-25,17.085385094245495,17.21645049068949,16.15856167875132,16.289627075195312,253200
2025-02-26,17.281981786823337,18.53647037728287,17.1041078448323,17.881141662597656,665100
2025-02-27,17.965396679706686,18.606683119965062,15.596847191922686,15.699828147888184,455000
2025-02-28,15.475146518374862,16.551759455675512,15.025776134055356,16.336437225341797,241000
2025-03-03,17.038576001118052,17.160279324631848,14.834794460763078,15.213013648986816,205600
2025-03-04,15.091309170213846,16.23345469544676,14.03341868672862,15.4564208984375,253600
2025-03-05,15.821535642458345,16.7202747106085,15.203653314319224,16.514312744140625,270100
2025-03-06,15.273865279162155,16.07430336646727,14.67002526847292,14.698110580444336,207900
2025-03-07,14.988327233749969,16.03685379543333,14.796409313982723,15.90578842163086,268900
2025-03-10,14.763644169302324,15.315993697507533,13.467027177541414,13.921076774597168,456500
2025-03-11,14.089591613670253,15.100670965037935,13.64022212024635,14.52023696899414,240700
2025-03-12,15.624935066879104,17.104107950259422,15.615572998458928,16.654739379882812,361300
2025-03-13,16.121112897821877,17.497306659950116,16.09302847696672,16.38324546813965,302200
2025-03-14,17.77816104158141,19.098182350587546,17.767863301872246,18.424129486083984,381800
