Date,QQQ,TQQQ,SOXX,SOXL,MU,SanDisk,EWY,STAR_CHIP
2023-07-11,361.851806640625,19.557374954223633,164.90086364746094,23.88979148864746,62.8970947265625,100.0,59.9032096862793,1.2760000228881836
2023-07-12,366.4219970703125,20.282258987426758,167.97232055664062,25.214820861816406,63.084999084472656,100.15640717622665,61.53227615356445,1.2410000562667847
2023-07-13,372.6433410644531,21.292259216308594,171.4423828125,26.77541160583496,63.81681442260742,102.60688099058056,62.342159271240234,1.2630000114440918
2023-07-14,372.5647277832031,21.272932052612305,169.2989044189453,25.744829177856445,63.371788024902344,103.38893669685861,62.53764343261719,1.2630000114440918
2023-07-17,376.0439453125,21.862503051757812,173.35061645507812,27.540985107421875,64.43986511230469,102.03336598314414,62.87276840209961,1.246000051498413
2023-07-18,379.1202087402344,22.384418487548828,173.6708221435547,27.73728370666504,64.22229766845703,100.2606874382199,62.68659210205078,1.2400000095367432
2023-07-19,379.0317687988281,22.384418487548828,171.6090087890625,26.78522491455078,64.24207305908203,101.48591443282442,62.48179626464844,1.2200000286102295
2023-07-20,370.29437255859375,20.81383514404297,165.36810302734375,23.840715408325195,63.975059509277344,99.79144608439512,61.43918991088867,1.2000000476837158
2023-07-21,369.1838073730469,20.63019561767578,166.86134338378906,24.459062576293945,64.92444610595703,99.84358621539174,61.46711730957031,1.187999963760376
2023-07-24,369.7735290527344,20.71235466003418,166.85482788085938,24.43943214416504,64.75631713867188,101.45985758408933,62.649356842041016,1.180999994277954
2023-07-25,372.27972412109375,21.12795639038086,169.66162109375,25.64668083190918,64.9541015625,100.72992879204466,63.20789337158203,1.1959999799728394
2023-07-26,371.04132080078125,20.910490036010742,167.31878662109375,24.596473693847656,66.63531494140625,101.35556410533283,62.863460540771484,1.1970000267028809
2023-07-27,370.1567077636719,20.7316837310791,170.4654083251953,25.970577239990234,70.28455352783203,108.65484541739792,61.73707962036133,1.1759999990463257
2023-07-28,376.8990478515625,21.852840423583984,174.1870880126953,27.629318237304688,70.41310119628906,109.56724484278593,62.82622146606445,1.1820000410079956
2023-07-31,377.0956115722656,21.896331787109375,174.90921020507812,27.88450813293457,70.60101318359375,110.94889883876193,62.90070343017578,1.194000005722046
2023-08-01,376.22088623046875,21.727191925048828,175.02029418945312,28.002290725708008,69.97795867919922,111.75703782730156,62.891380310058594,1.190999984741211
2023-08-02,367.965087890625,20.30641746520996,168.3218994140625,24.81240463256836,67.41658020019531,110.58392453016718,60.95512771606445,1.1950000524520874
2023-08-03,367.3753356933594,20.16144561767578,167.890625,24.6848087310791,68.4154281616211,112.77371090630119,60.92719650268555,1.1979999542236328
2023-08-04,365.6553955078125,19.881155014038086,167.6259307861328,24.4197998046875,69.13736724853516,113.26903554238751,60.35003662109375,1.2020000219345093
2023-08-07,368.7513122558594,20.374074935913086,169.39041137695312,25.185375213623047,68.61320495605469,113.39936604473422,60.18247985839844,1.194000005722046
2023-08-08,365.61614990234375,19.85215950012207,166.6947021484375,24.007572174072266,66.90233612060547,112.51302346808129,59.36328887939453,1.190000057220459
2023-08-09,361.59625244140625,19.190095901489258,163.63633728027344,22.662914276123047,65.96282958984375,111.00102575299532,59.83804702758789,1.1749999523162842
2023-08-10,362.26458740234375,19.27708625793457,162.9762725830078,22.38808822631836,64.71675109863281,109.88007902038404,59.44707107543945,1.1770000457763672
2023-08-11,359.9549255371094,18.890478134155273,159.02589416503906,20.748977661132812,63.658599853515625,109.17622029383769,58.75820541381836,1.1510000228881836
2023-08-14,363.9943542480469,19.51871109008789,163.61346435546875,22.50587272644043,67.52537536621094,111.05316588399194,58.23690414428711,1.1399999856948853
2023-08-15,360.1318359375,18.919475555419922,160.8818359375,21.396772384643555,64.60797119140625,107.0125105915836,57.72490692138672,1.1169999837875366
2023-08-16,356.3184509277344,18.29123878479004,157.76791381835938,20.150266647338867,63.5102424621582,105.37017576576932,56.5612907409668,1.0920000076293945
2023-08-17,352.42633056640625,17.67267417907715,156.2256622314453,19.541730880737305,62.857540130615234,105.03127152267287,56.61714172363281,1.1080000400543213
2023-08-18,351.984130859375,17.59052085876465,157.0653839111328,19.777294158935547,62.88720703125,103.59749722084509,56.477508544921875,1.1039999723434448
2023-08-21,357.6550598144531,18.441051483154297,161.5778045654297,21.475292205810547,63.25311279296875,105.3180356347727,56.85918045043945,1.0880000591278076
2023-08-22,357.1439514160156,18.358898162841797,160.15318298339844,20.955095291137695,62.70919418334961,105.37017576576932,56.57990264892578,1.1109999418258667
2023-08-23,362.775634765625,19.223926544189453,163.42723083496094,22.181974411010742,64.46953582763672,107.01251059158362,57.296695709228516,1.0779999494552612
2023-08-24,355.02105712890625,17.95779800415039,158.0260467529297,20.03248405456543,62.9860954284668,103.93638163879668,57.259464263916016,1.0920000076293945
2023-08-25,357.77301025390625,18.383056640625,158.70570373535156,20.27785873413086,63.015769958496094,102.94577862529536,57.72490692138672,1.059999942779541
2023-08-28,360.46600341796875,18.79383087158203,160.71519470214844,21.023801803588867,64.58818817138672,107.95098669085156,58.19035720825195,1.069000005722046
2023-08-29,368.3385009765625,19.99230194091797,164.936767578125,22.643281936645508,65.94306945800781,108.3159477826831,58.972312927246094,1.1180000305175781
2023-08-30,370.39263916015625,20.325748443603516,165.7144317626953,22.967180252075195,67.33746337890625,110.84461196838707,58.59064483642578,1.159999966621399
2023-08-31,371.5032958984375,20.50938606262207,166.86134338378906,23.418668746948242,69.16702270507812,117.30969083479587,58.13450622558594,1.1749999523162842
2023-09-01,371.1101379394531,20.436899185180664,167.29591369628906,23.575712203979492,69.61205291748047,119.81231138852802,58.84198760986328,1.1670000553131104
2023-09-05,371.5818786621094,20.490055084228516,167.24038696289062,23.575712203979492,69.51315307617188,119.36912688343831,58.42308044433594,1.1670000553131104
