Date,Open,High,Low,Close,Volume
2023-07-11,165.46613422935022,165.76674849193728,162.52210977606003,164.90084838867188,2370300
2023-07-12,167.28611863658196,168.27618026974,166.34181175529469,167.97230529785156,4269300
2023-07-13,169.753106748831,171.83123123242436,169.09960199259302,171.44239807128906,2791200
2023-07-14,171.46200225941035,172.9977256780391,168.59967514316855,169.29891967773438,5124900
2023-07-17,169.36097837840282,174.20667422974174,168.31865553867146,173.35060119628906,2926200
2023-07-18,172.60558404275918,174.24259881395142,171.25284998554457,173.67079162597656,2669400
2023-07-19,173.89628352518685,174.02046004906822,171.18100273907694,171.60903930664062,2483400
2023-07-20,168.5473933572697,169.13227347350627,164.61659751892338,165.3681182861328,5085600
2023-07-21,167.1685093188501,168.41996696590758,165.92686374111986,166.86135864257812,2527800
2023-07-24,166.85807303837603,168.0409058534204,165.98891228914215,166.85479736328125,1544400
2023-07-25,167.81874685809174,170.67127709543337,167.81874685809174,169.66162109375,1869300
2023-07-26,167.54423981407194,168.73360898716604,165.4889855921151,167.31878662109375,2618700
2023-07-27,171.6711107985485,174.03024016049707,169.5112890756124,170.46539306640625,3826500
2023-07-28,173.71328150607604,174.7784891555733,172.01417838104388,174.18707275390625,2821500
2023-07-31,174.82425204611715,175.42548059498952,173.82766890962927,174.90921020507812,1628400
2023-08-01,173.30814816660038,175.38954839851354,172.77226856393605,175.0203094482422,1343400
2023-08-02,172.79841787390077,172.84415767517802,167.3188255787036,168.3219451904297,4657800
2023-08-03,166.30588604755116,169.1028642934419,165.68506325415478,167.890625,4354800
2023-08-04,167.28285242418804,169.9556687422646,165.779796160794,167.6259307861328,4139400
2023-08-07,168.83164641052306,169.60603695048857,167.80564214017107,169.390380859375,2262900
2023-08-08,166.74373288142135,166.88424291028494,164.45974939223254,166.69471740722656,2767500
2023-08-09,166.58034685323122,166.6456958306237,163.3063167178592,163.63633728027344,3228000
2023-08-10,164.94332337155586,166.69470279969394,161.86861600065822,162.97628784179688,3831600
2023-08-11,160.97656543225972,161.08765418722032,158.7383222141281,159.02586364746094,3882000
2023-08-14,158.41486299110974,163.652652495765,157.86918637705745,163.6134490966797,3127200
2023-08-15,162.76717410074008,163.28998086980027,160.6955861195062,160.8818359375,2276700
2023-08-16,160.70864715731122,160.86875139004954,157.64373700912554,157.7678985595703,2840100
2023-08-17,158.06198458230693,158.41813574848945,155.73224650569298,156.22564697265625,2624400
2023-08-18,154.52328040486807,157.62739406166818,154.19979625291117,157.0653839111328,2315700
2023-08-21,157.80712818924272,161.81634585410018,157.55552937136875,161.57781982421875,2757900
2023-08-22,163.55466584404311,163.75397350771107,159.60752153029753,160.1531982421875,2055300
